,positions
25510,rnbqkbnr/p1pp2pp/1p2p3/5p2/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 0 4
25511,r1bqkb1r/ppp1pppp/2np1n2/8/2PP4/5N2/PP2PPPP/RNBQKB2 w KQkq - 1 4
25512,rnbqk1nr/pp1pppbp/6p1/2p5/2B1P3/2N5/PPPP1PPP/R1BQK1N1 w KQkq - 2 4
25513,r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 2 4
25514,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 2 4
25515,rnbqkb1r/pppp1p1p/4pnp1/8/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 0 4
25516,r1bqkbnr/pppn1ppp/4p3/3p4/3P4/4PN2/PPP2PPP/1NBQKB1R w KQkq - 1 4
25517,rnbqkb1r/pppp2pp/5n2/4pp2/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 0 4
25518,r1bqkbnr/1pp1pppp/p1n5/1B1p4/8/4PN2/PPPP1PPP/1NBQK2R w KQkq - 0 4
25519,r1bqkb1r/pppnpppp/3p1n2/8/2PP4/2N5/PP2PPPP/R1BQKBN1 w KQkq - 1 4
25520,rnbqk1nr/p1pp1ppp/1p2p3/8/1b1PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 2 4
25521,rn1qkbnr/pp2pppp/2p5/3p1b2/8/1P3NP1/P1PPPP1P/1NBQKB1R w KQkq - 1 4
25522,rnbqk2r/ppppppbp/5np1/8/3PP3/4B3/PPP2PPP/1N1QKBNR w KQkq - 3 4
25523,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/2N5/PPP2PPP/2BQKBNR w KQkq - 0 4
25524,rnbqkb1r/p1p1pppp/1p3n2/3p4/3P4/5NP1/PPP1PP1P/1NBQKB1R w KQkq - 0 4
25525,rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/8/PPPN1PPP/2BQKBNR w KQkq - 2 4
25526,rnbqkbnr/pp2pp1p/6p1/2pp4/8/1P2PN2/P1PP1PPP/1NBQKB1R w KQkq - 0 4
25527,rnbqkb1r/ppppp2p/5np1/5p2/3P4/6P1/PPP1PPBP/RNBQK1N1 w KQkq - 2 4
25528,rn1qkbnr/pp2pppp/2p5/3p4/3P2b1/4PN2/PPP2PPP/1NBQKB1R w KQkq - 1 4
25529,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 0 4
25530,rnbqkbnr/ppp3pp/4p3/3p1p2/3P4/2N2N2/PPP1PPPP/R1BQKB2 w KQkq - 0 4
25531,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/8/PPPN1PPP/R1BQKBN1 w KQkq - 0 4
25532,rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N5/PP2PPPP/R1BQKBN1 w KQkq - 0 4
25533,rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/2N2N2/PPP1PPPP/2BQKB1R w KQkq - 0 4
25534,rnbqk2r/ppppppbp/5np1/3P4/2P5/8/PP2PPPP/1NBQKBNR w KQkq - 1 4
25535,rnbqkbnr/pp3ppp/2p5/3pp3/2P1P3/5N2/PP1P1PPP/RNBQKB2 w KQkq - 0 4
25536,rn1qkbnr/pbpp1ppp/1p2p3/8/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 1 4
25537,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 1 4
25538,rnbqkbnr/ppp2p1p/3p2p1/3Pp3/2P5/8/PP2PPPP/RNBQKBN1 w KQkq - 0 4
25539,rnb1kbnr/pp1p1ppp/2p5/q3p3/2P1P3/5N2/PP1P1PPP/RNBQKB2 w KQkq - 2 4
25540,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4PP2/5N2/PPPP2PP/1NBQKB1R w KQkq - 0 4
25541,r1bqkbnr/pp1p1ppp/2n1p3/1Bp5/4P3/5N2/PPPP1PPP/1NBQK2R w KQkq - 0 4
25542,r2qkbnr/pppnpppp/8/3p4/6b1/5NP1/PPPPPPBP/1NBQK2R w KQkq - 3 4
25543,rnbqkb1r/pppp2pp/4pn2/5p2/2P5/1P3N2/P2PPPPP/1NBQKB1R w KQkq - 1 4
25544,rnbqkbnr/3ppppp/p7/1pp5/4P3/5NP1/PPPP1P1P/1NBQKB1R w KQkq - 0 4
25545,r1bqkb1r/pppnpppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/1N1QKB1R w KQkq - 4 4
25546,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N2N2/PPP1PPPP/2BQKB1R w KQkq - 0 4
25547,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 0 4
25548,rnbqkb1r/pp1p1ppp/4pn2/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB2 w KQkq - 2 4
25549,rnbqkb1r/pp1p1ppp/4pn2/2p5/8/5NP1/PPPPPPBP/1NBQK2R w KQkq - 2 4
25550,rnbqkb1r/p1pp1ppp/1p2pn2/8/3P1B2/5N2/PPP1PPPP/1N1QKB1R w KQkq - 0 4
25551,rnbqkb1r/ppp1pppp/3p4/8/3PnB2/8/PPP1PPPP/RN1QKBN1 w KQkq - 0 4
25552,rnbqkb1r/pp1p1ppp/4pn2/2p5/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 2 4
25553,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 0 4
25554,rnbqkb1r/ppp1p1pp/5n2/3p1pB1/3P4/2N5/PPP1PPPP/3QKBNR w KQkq - 2 4
25555,r1bqkb1r/ppppp1pp/2n2n2/5p2/2P5/1P6/PB1PPPPP/RN1QKBN1 w KQkq - 3 4
25556,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 2 4
25557,rn1qkbnr/pb1ppppp/1p6/2p5/2P5/4PN2/PP1P1PPP/1NBQKB1R w KQkq - 1 4
25558,rnbqkb1r/pp2pppp/2p2n2/3p4/3P4/P4N2/1PP1PPPP/1NBQKB1R w KQkq - 0 4
25559,rnbqkb1r/pppppp2/5npp/6B1/3P4/2N5/PPP1PPPP/3QKBNR w KQkq - 0 4
25560,rnbqkbnr/pp2pp1p/2p3p1/3p4/4PP2/2N5/PPPP2PP/R1BQKBN1 w KQkq - 0 4
25561,r1bqkbnr/pppp1p1p/2n3p1/4p3/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 2 4
25562,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 2 4
25563,rnbqkbnr/pp2ppp1/2p4p/3p4/3PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 0 4
25564,r1bqkbnr/pp1p1ppp/2n5/2p1p3/8/2N2NP1/PPPPPP1P/2BQKB1R w KQkq - 0 4
25565,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/6P1/PP2PP1P/RNBQKBN1 w KQkq - 0 4
25566,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/6P1/PPPP1PBP/1NBQK1NR w KQkq - 0 4
25567,r1bqk1nr/pppp1ppp/2n1p3/8/1b1P4/2N2N2/PPP1PPPP/2BQKB1R w KQkq - 4 4
25568,rnbqkbnr/pp3ppp/3p4/2p1p3/4P3/1P3N2/P1PP1PPP/1NBQKB1R w KQkq - 0 4
25569,rnbqkb1r/pppp1pp1/4pn1p/8/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 0 4
25570,r1bqkb1r/pppp1ppp/2n1pn2/8/3P4/4PN2/PPP2PPP/RNBQKB2 w KQkq - 1 4
25571,rnbqk2r/ppppbppp/4pn2/8/3P1B2/5N2/PPP1PPPP/1N1QKB1R w KQkq - 2 4
25572,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 0 4
25573,rnbqkb1r/pppp1p1p/5np1/4p3/4P3/2N3P1/PPPP1P1P/2BQKBNR w KQkq - 0 4
25574,rnbqkb1r/pp1ppp1p/2p2np1/8/2PP4/5N2/PP2PPPP/RNBQKB2 w KQkq - 0 4
25575,rnbqkb1r/ppp1pp1p/3p1np1/8/8/5NP1/PPPPPPBP/1NBQK2R w KQkq - 0 4
25576,rnbqkb1r/pp2pppp/5n2/2pp4/4PP2/3P4/PPP3PP/1NBQKBNR w KQkq - 0 4
25577,rnbqk1nr/p1pp1ppp/1p2p3/8/1bPP4/2N5/PP2PPPP/2BQKBNR w KQkq - 2 4
25578,rnbqkb1r/pp1p1ppp/4pn2/2p5/4P3/2P2N2/PP1P1PPP/1NBQKB1R w KQkq - 2 4
25579,rnbqkb1r/pp2pppp/3p1n2/2p5/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 0 4
25580,rnbqk2r/ppppppbp/5np1/8/2PP4/4P3/PP3PPP/1NBQKBNR w KQkq - 1 4
25581,rnbqkbnr/pp2pp1p/2p3p1/3p4/4P3/2N3P1/PPPP1P1P/2BQKBNR w KQkq - 0 4
25582,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/1P3N2/P1PP1PPP/1NBQKB1R w KQkq - 1 4
25583,rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/1NBQKBNR w KQkq - 1 4
25584,rnbqkb1r/p1pp1ppp/1p2pn2/8/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 0 4
25585,r1bqkbnr/ppp2ppp/2np4/4p3/2B1P3/2N5/PPPP1PPP/2BQK1NR w KQkq - 0 4
25586,rnbqk1nr/ppp1bppp/3p4/3Pp3/2P5/8/PP2PPPP/1NBQKBNR w KQkq - 1 4
25587,r2qkbnr/ppp1pppp/2n5/3p4/3P2b1/4PN2/PPP2PPP/1NBQKB1R w KQkq - 1 4
25588,rn1qkbnr/pp2pppp/2p5/3p4/2P3b1/4PN2/PP1P1PPP/1NBQKB1R w KQkq - 1 4
25589,rnbqk1nr/pp1p1ppp/2p5/2b1p3/2P1P3/2N5/PP1P1PPP/2BQKBNR w KQkq - 1 4
25590,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 1 4
25591,rnbqkb1r/pp1p1ppp/4pn2/2p5/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 2 4
25592,r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/8/PPPN1PPP/R1BQKBN1 w KQkq - 2 4
25593,rnbqk2r/ppppnppp/8/2b1p3/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 3 4
25594,rnbqkbnr/p2p1ppp/1p2p3/2p5/2P5/2N1P3/PP1P1PPP/2BQKBNR w KQkq - 0 4
25595,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/1P3N2/P2PPPPP/1NBQKB1R w KQkq - 0 4
25596,rnbqkb1r/ppp2ppp/3ppn2/6B1/3P4/5N2/PPP1PPPP/1N1QKB1R w KQkq - 0 4
25597,rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/2N5/PPPP1PPP/2BQK1NR w KQkq - 0 4
25598,rnbqkb1r/pp1p1ppp/2p1pn2/8/2P5/2N2N2/PP1PPPPP/R1BQKB2 w KQkq - 0 4
25599,r1bqkb1r/pppp1ppp/2n1pn2/8/8/5NP1/PPPPPPBP/1NBQK2R w KQkq - 0 4
25600,rnbqk1nr/ppp1bppp/3p4/4p3/2P5/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 1 4
25601,rnbqkbnr/1pp2ppp/4p3/p2p4/3PP3/5N2/PPP2PPP/RNBQKB2 w KQkq - 0 4
25602,rnbqkbnr/pp3ppp/2pp4/4p3/2B1P3/5N2/PPPP1PPP/1NBQK2R w KQkq - 0 4
25603,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB2 w KQkq - 2 4
25604,rnbqkbnr/pp1p2pp/2p1p3/5p2/2PP4/6P1/PP2PP1P/RNBQKBN1 w KQkq - 0 4
25605,rnbqkb1r/p2ppppp/1p3n2/2p5/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 0 4
25606,r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 2 4
25607,rn1qkbnr/pbpppp1p/1p4p1/8/8/5NP1/PPPPPPBP/1NBQK2R w KQkq - 0 4
25608,rnbqkb1r/pppp2pp/4pn2/5pB1/3P4/5N2/PPP1PPPP/1N1QKB1R w KQkq - 0 4
25609,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 2 4
25610,rnbqk1nr/pppp1pbp/6p1/4p3/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 2 4
25611,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 0 4
25612,rnbqkbnr/pp2pp1p/2pp2p1/8/3PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 0 4
25613,r1bqkb1r/pppnpppp/3p1n2/6B1/3P4/2P5/PP2PPPP/1N1QKBNR w KQkq - 2 4
25614,rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/5N2/PPPNPPPP/2BQKB1R w KQkq - 0 4
25615,rn1qkb1r/pbpppppp/1p3n2/8/8/1P3N2/PBPPPPPP/1N1QKB1R w KQkq - 2 4
25616,rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBN1 w KQkq - 2 4
25617,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P5/4PN2/PP1P1PPP/1NBQKB1R w KQkq - 0 4
25618,rn1qkb1r/pbpppppp/1p3n2/8/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 3 4
25619,rnbqkb1r/ppp1pp1p/5np1/3p4/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 0 4
25620,rnbqkb1r/pp2pppp/3p1n2/2p5/3PP3/5N2/PPP2PPP/1NBQKB1R w KQkq - 1 4
25621,rnbqkbnr/1p1p1ppp/p3p3/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB2 w KQkq - 0 4
25622,rnbqkbnr/pp2pppp/2p5/8/3pP3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 0 4
25623,rnbqkbnr/ppp2pp1/4p2p/3p4/3PP3/8/PPPN1PPP/2BQKBNR w KQkq - 0 4
25624,rnbqkb1r/pp1ppp1p/5np1/2p5/2PP4/4P3/PP3PPP/RNBQKBN1 w KQkq - 0 4
25625,rnbqkbnr/pppp2pp/8/5p2/2PPp3/6P1/PP2PP1P/RNBQKBN1 w KQkq - 0 4
25626,rnbqkb1r/p1pp1ppp/1p2pn2/6B1/3P4/5N2/PPP1PPPP/1N1QKB1R w KQkq - 0 4
25627,r1bqk1nr/pppp1ppp/2n5/1Bb1p3/4P3/5N2/PPPP1PPP/1NBQK2R w KQkq - 4 4
25628,rnbqkb1r/pp2pppp/3p1n2/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB2 w KQkq - 2 4
25629,r1bqkb1r/pppnpppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/1N1QKB1R w KQkq - 3 4
25630,rnbqkbnr/p3pppp/1p1p4/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBN1 w KQkq - 0 4
25631,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBN1 w KQkq - 2 4
25632,rnbqkb1r/ppp2ppp/3p1n2/4p3/8/1P4P1/PBPPPP1P/1N1QKBNR w KQkq - 1 4
25633,rnbqkb1r/pppp2pp/4pn2/5p2/2P5/6P1/PP1PPPBP/RNBQK1N1 w KQkq - 2 4
25634,rnbqkbnr/ppp3pp/4p3/3p1p2/2PP4/5N2/PP2PPPP/RNBQKB2 w KQkq - 0 4
25635,r2qkbnr/ppp1pppp/2n5/3p1b2/2PP4/P7/1P2PPPP/RNBQKBN1 w KQkq - 1 4
25636,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 2 4
25637,rnbqk1nr/p1pp1ppp/1p2p3/8/1bPP4/8/PP1NPPPP/2BQKBNR w KQkq - 0 4
25638,rnbqk2r/ppppbppp/5n2/4p3/2P5/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 1 4
25639,rnbqkb1r/p2ppppp/1p3n2/2p5/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 1 4
25640,r1bqkbnr/ppp2ppp/2np4/4p3/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 0 4
25641,rnbqk1nr/pppp1pbp/6p1/4p3/2P5/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 2 4
25642,r2qkbnr/ppp1pppp/2n5/3p4/3P2b1/5NP1/PPP1PP1P/1NBQKB1R w KQkq - 1 4
25643,rnbqkb1r/ppppp2p/5np1/5p2/3P1B2/4P3/PPP2PPP/RN1QKBN1 w KQkq - 0 4
25644,r1bqkbnr/pp1p1ppp/2n5/2p1p3/2P5/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 2 4
25645,rnbqk1nr/1ppp1ppp/4p3/p7/1bPP4/8/PP1BPPPP/1N1QKBNR w KQkq - 0 4
25646,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P4/PPP2PPP/1NBQK1NR w KQkq - 1 4
25647,rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 0 4
25648,rnbqk1nr/ppp1ppbp/3p2p1/8/2BPP3/8/PPP2PPP/RNBQK1N1 w KQkq - 2 4
25649,rnbqkb1r/ppp1p1pp/3p1n2/5p2/8/3P1NP1/PPP1PP1P/1NBQKB1R w KQkq - 1 4
25650,rn1qkbnr/ppp1pppp/8/3pNb2/3P4/8/PPP1PPPP/RNBQKB2 w KQkq - 3 4
25651,rnbqkbnr/p2p1ppp/1p2p3/2p5/2P1P3/5N2/PP1P1PPP/1NBQKB1R w KQkq - 0 4
25652,rn1qkb1r/pbpppppp/1p3n2/6B1/3P4/2P5/PP2PPPP/1N1QKBNR w KQkq - 2 4
25653,rnbqkb1r/pp2pppp/2pp1n2/8/2PP4/4P3/PP3PPP/RNBQKBN1 w KQkq - 0 4
25654,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/1P3N2/P1P1PPPP/1NBQKB1R w KQkq - 1 4
25655,rnbqk1nr/ppp2ppp/4p3/3p4/1b2P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 2 4
25656,r1bqkbnr/pp2pppp/2np4/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB2 w KQkq - 0 4
25657,rnbqk1nr/1ppp1ppp/8/p2Np3/1bP5/8/PP1PPPPP/R1BQKBN1 w KQkq - 0 4
25658,rnbqkb1r/pp2pppp/2p2n2/3p4/3P4/5NP1/PPP1PP1P/1NBQKB1R w KQkq - 0 4
25659,rnbqk1nr/pp1pppbp/6p1/2pP4/4P3/8/PPP2PPP/1NBQKBNR w KQkq - 1 4
25660,rnbqkb1r/pp1ppp1p/2p2np1/8/3PP3/8/PPPN1PPP/R1BQKBN1 w KQkq - 2 4
25661,rn1qkbnr/pp2pppp/2p5/3p1b2/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 2 4
25662,r1bqkb1r/pppnpppp/5n2/3p2B1/3P4/5N2/PPP1PPPP/1N1QKB1R w KQkq - 3 4
25663,rnb1kbnr/pp2pppp/3p4/q1p5/4P3/2P2N2/PP1P1PPP/RNBQKB2 w KQkq - 0 4
25664,rnbqkb1r/pp1p1ppp/4pn2/2p5/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 1 4
25665,rnbqkbnr/pp3ppp/2pp4/4p3/3PP3/2N5/PPP2PPP/R1BQKBN1 w KQkq - 0 4
25666,rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/5N2/PPP2PPP/RNBQKB2 w KQkq - 2 4
25667,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 1 4
25668,rnbqkbnr/pp3ppp/4p3/2pp4/3P1B2/5N2/PPP1PPPP/1N1QKB1R w KQkq - 0 4
25669,rnbqkb1r/ppppp1p1/5n1p/5p2/3P1B2/8/PPP1PPPP/RN1QKBN1 w KQkq - 2 4
25670,rn1qkb1r/ppp1pppp/3p1n2/5b2/3P4/2N2N2/PPP1PPPP/2BQKB1R w KQkq - 2 4
25671,rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/2N3P1/PP1PPP1P/2BQKBNR w KQkq - 1 4
25672,rnbqkb1r/pp2pppp/2pp1n2/8/2PP1B2/8/PP2PPPP/RN1QKBN1 w KQkq - 0 4
25673,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/5N2/PPP2PPP/RNBQKB2 w KQkq - 2 4
25674,rnbqkbnr/pp3ppp/2pp4/4p3/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 0 4
25675,rnbqk2r/pppp1ppp/3bpn2/8/8/1PP2N2/P2PPPPP/1NBQKB1R w KQkq - 1 4
25676,r1bqkbnr/ppp2ppp/2n1p3/3p4/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 0 4
25677,rnbqkbnr/p1p2ppp/1p2p3/3pP3/3P4/8/PPP2PPP/RNBQKBN1 w KQkq - 0 4
25678,rnbqkb1r/pp1p1ppp/4pn2/2p5/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 0 4
25679,r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 0 4
25680,rn1qkb1r/pbpppppp/1p3n2/8/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 2 4
25681,rnbqkbnr/ppp2p1p/3p2p1/4p3/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 0 4
25682,rnbqkb1r/pp2pppp/3p1n2/2p5/2PP4/5N2/PP2PPPP/RNBQKB2 w KQkq - 0 4
25683,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/2N2N2/PPPP1PPP/2BQKB1R w KQkq - 0 4
25684,rnbqkb1r/ppp2ppp/4pn2/3p4/2P1P3/2N5/PP1P1PPP/2BQKBNR w KQkq - 0 4
25685,r1bqkb1r/ppp1pppp/2n2n2/3p4/2P5/5NP1/PP1PPP1P/1NBQKB1R w KQkq - 1 4
25686,rn1qkbnr/ppp1pp1p/6p1/3p1b2/3P4/4PN2/PPP2PPP/1NBQKB1R w KQkq - 1 4
25687,rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQKBN1 w KQkq - 1 4
25688,r1bqkb1r/pppnpppp/5n2/3p4/3P4/5NP1/PPP1PP1P/1NBQKB1R w KQkq - 3 4
25689,rnbqk1nr/pp1pppbp/6p1/2p5/2PPP3/8/PP3PPP/1NBQKBNR w KQkq - 0 4
25690,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/5P2/PPP3PP/RNBQKBN1 w KQkq - 0 4
25691,rnbqkb1r/1pp1pppp/p4n2/3p4/3P1B2/5N2/PPP1PPPP/1N1QKB1R w KQkq - 0 4
25692,rnbqkbnr/pp2pp1p/2p3p1/3p4/4PP2/2N5/PPPP2PP/2BQKBNR w KQkq - 0 4
25693,rnbqkb1r/p1p1pppp/1p3n2/3p4/3P4/5NP1/PPP1PP1P/1NBQKB1R w KQkq - 1 4
25694,r1bqkb1r/pppnpppp/3p1n2/8/3P4/5NP1/PPP1PP1P/1NBQKB1R w KQkq - 1 4
25695,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PPP2/8/PPP3PP/RNBQKBN1 w KQkq - 0 4
25696,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/3BP3/PPP2PPP/1NBQK1NR w KQkq - 3 4
25697,rn1qkbnr/pbpp1ppp/1p2p3/8/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 0 4
25698,rnbqkbnr/pp3ppp/4p3/2pp4/3P4/4PN2/PPP2PPP/1NBQKB1R w KQkq - 0 4
25699,rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB2 w KQkq - 0 4
25700,rnbqkb1r/pppp1ppp/4p3/3nP3/8/2P5/PP1P1PPP/1NBQKBNR w KQkq - 1 4
25701,rn1qkbnr/pp1bpppp/3p4/2p5/4P3/2N5/PPPPNPPP/R1BQKB2 w KQkq - 2 4
25702,rnbqkb1r/pppp2pp/4pn2/5pB1/3P4/2P5/PP2PPPP/1N1QKBNR w KQkq - 0 4
25703,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/2N5/PPPPNPPP/R1BQKB2 w KQkq - 0 4
25704,r1bqkbnr/ppp2ppp/2n1p3/3p4/4P3/3P4/PPPN1PPP/2BQKBNR w KQkq - 2 4
25705,r1bqkbnr/pp1p1ppp/2n5/2p1p3/2P5/2N1P3/PP1P1PPP/2BQKBNR w KQkq - 1 4
25706,r1bqkbnr/pppn1ppp/3p4/4p3/8/1P2P3/PBPP1PPP/RN1QKBN1 w KQkq - 1 4
25707,rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 0 4
25708,rnb1k1nr/ppppqppp/4p3/8/1bPP4/8/PP1BPPPP/RN1QKBN1 w KQkq - 3 4
25709,r1bqkbnr/ppp2ppp/2np4/1B2p3/4P3/5N2/PPPP1PPP/1NBQK2R w KQkq - 0 4
25710,rnbqkbnr/pp2pp1p/2p3p1/3p4/2PP4/4P3/PP3PPP/1NBQKBNR w KQkq - 0 4
25711,r1bqkbnr/ppp1p1pp/2n2p2/3pP3/3P4/8/PPP2PPP/RNBQKBN1 w KQkq - 0 4
25712,rnbqkb1r/ppp1pp1p/3p1np1/8/8/1P3NP1/P1PPPP1P/1NBQKB1R w KQkq - 0 4
25713,rnbqkbnr/pp3ppp/2p1p3/3p4/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 0 4
25714,r1bqkbnr/1p1ppppp/p1n5/2p5/4P3/2N3P1/PPPP1P1P/2BQKBNR w KQkq - 1 4
25715,rnbqkbnr/pp2pp1p/2p3p1/3p4/2PP4/5N2/PP2PPPP/1NBQKB1R w KQkq - 0 4
25716,r2qkbnr/pppnpppp/3p4/8/3P2b1/4PN2/PPP2PPP/RNBQKB2 w KQkq - 1 4
25717,rnbqkbnr/1p1p1ppp/p3p3/2p5/2P5/2N2N2/PP1PPPPP/2BQKB1R w KQkq - 0 4
25718,rnbqkb1r/1pp1pppp/p4n2/3p4/3P4/4PN2/PPP2PPP/1NBQKB1R w KQkq - 0 4
25719,rnbqkb1r/pp2pppp/5n2/2pp4/8/4PN2/PPPPBPPP/1NBQK2R w KQkq - 2 4
25720,rnbqk1nr/ppp1ppbp/3p2p1/8/2PPP3/8/PP3PPP/RNBQKBN1 w KQkq - 1 4
25721,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/6P1/PP1PPPBP/1NBQK1NR w KQkq - 0 4
25722,r1bqkbnr/pp2pppp/2np4/2p5/4P3/6P1/PPPPNP1P/1NBQKB1R w KQkq - 1 4
25723,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N5/PP2PPPP/2BQKBNR w KQkq - 0 4
